74  2587  1  0.03283
76  2010  2  0.06566
78  2309  1  0.03283
79  847  1  0.03283
85  956  1  0.03283
86  396  1  0.03283
88  415  1  0.03283
90  845  1  0.03283
90  2264  1  0.03283
90  2716  1  0.03283
91  995  1  0.03283
99  336  1  0.03283
99  2613  1  0.03283
99  2638  1  0.03283
101  1186  1  0.03283
107  1488  2  0.06566
113  1823  1  0.03283
122  190  1  0.03283
122   521  1  0.03283
122  873  1  0.03283
123  2535  1  0.03283
124  2701  1  0.03283
127  748  1  0.03283
129  2527  1  0.03283
130  2662  1  0.03283
134  2716  1  0.03283
136  1763  2  0.06566
137  336  1  0.03283
137  555  1  0.03283
137  1416  1  0.03283
140  415  1  0.03283
145  845  1  0.03283
149  1119  1  0.03283
150  2662  1  0.03283
153  842  1  0.03283
155  1715  3  0.09849
156  1444  1  0.03283
157  848  1  0.03283
160  526  1  0.03283
160  536  2  0.06566
160  952  2  0.06566
160  1535  1  0.03283
160  2316  1  0.03283
161  897  1  0.03283
162  1488  1  0.03283
165  122  1  0.03283
167  2584  1  0.03283
168  1823  1  0.03283
173  1055  1  0.03283
173  1261  2  0.06566
174  2424  1  0.03283
176  897  1  0.03283
179  848  1  0.03283
184  1  1  0.03283
184  1661  1  0.03283
185  547  1  0.03283
188  468  1  0.03283
188  556  6  0.19698
188  636  1  0.03283
188  897  1  0.03283
188  1022  3  0.09849
188  1763  1  0.03283
188  1937  13  0.42679
188  2264  1  0.03283
189  2244  1  0.03283
190  2090  1  0.03283
199  2309  1  0.03283
207  517  1  0.03283
208  457  1  0.03283
208  556  2  0.06566
208  1022  1  0.03283
208  2483  1  0.03283
209  526  1  0.03283
209  2131  2  0.06566
216  1179  1  0.03283
217  272  0.22981  217
847  1  0.03283  217
2175  1  0.03283
217  2264  4  0.13132
218  279  1  0.03283
218  526  1  0.03283
218  1327  2  0.06566
218  2279  1  0.03283
222  536  2  0.06566
222  792  1  0.03283
222  952  1  0.03283
222  1535  2  0.06566
224  897  1  0.03283
226  1488  1  0.03283
228  1327  1  0.03283
229  190  1  0.03283
229  526  2  0.06566
229  1327  1  0.03283
229  2090  1  0.03283
229  2279  1  0.03283
230  1055  1  0.03283
230  1647  0.09849  231
249  1  0.03283  231
1910  1  0.03283  234
1022  1  0.03283  234
2588  1  0.03283  235
1148  1  0.03283  237
1504  1  0.03283  237
1763  1  0.03283  241
1191  1  0.03283  243
272  1  0.03283  243
1767  1  0.03283  243
